zone_id,value
Z-ANDAMANNICOBAR-PORTBLAIR-01,63536.3125
Z-ANDHRAPRADESH-KURNOOL-01,250891.90625
Z-ANDHRAPRADESH-VISAKHAPATNAM-01,468227.78125
Z-ARUNACHALPRADESH-ITANAGAR-01,40274.19140625
Z-ASSAM-BARPETA-01,52335.1796875
Z-ASSAM-DHEMAJI-01,23436.91015625
Z-ASSAM-GUWAHATI-01,186921.609375
Z-ASSAM-JORHAT-01,88093.921875
Z-BIHAR-MUZAFFARPUR-01,348026.1875
Z-BIHAR-PATNA-01,702406.6875
Z-CHHATTISGARH-RAIGARH-01,86378.671875
Z-DAMANDIU-DIU-01,17260.958984375
Z-GUJARAT-MANDVI-01,27852.939453125
Z-GUJARAT-VERAVAL-01,107370.6875
Z-HARYANA-YAMUNANAGAR-01,184361.203125
Z-HIMACHAL-DHARAMSHALA-01,28063.91796875
Z-HIMACHAL-KULLU-01,13182.837890625
Z-HIMACHAL-SOLAN-01,34323.40625
Z-JAMMUKASHMIR-KISHTWAR-01,11212.904296875
Z-KARNATAKA-KARWAR-01,43780.76171875
Z-KARNATAKA-MADIKERI-01,32818.15625
Z-KERALA-ALAPPUZHA-01,146182.96875
Z-KERALA-IDUKKI-01,15325.55859375
Z-KERALA-MUNNAR-01,10398.818359375
Z-KERALA-WAYANAD-01,13068.5009765625
Z-LADAKH-LEH-01,6596.8955078125
Z-MADHYAPRADESH-NARMADAPURAM-01,66869.6015625
Z-MAHARASHTRA-CHIPLUN-01,46154.97265625
Z-MAHARASHTRA-RATNAGIRI-01,55031.953125
Z-MANIPUR-IMPHAL-01,171677.0625
Z-MEGHALAYA-SHILLONG-01,182473.734375
Z-MIZORAM-AIZAWL-01,117981.4921875
Z-ODISHA-BALASORE-01,168876.609375
Z-ODISHA-PARADIP-01,30774.0703125
Z-ODISHA-PURI-01,239328.296875
Z-SIKKIM-CHUNGTHANG-01,654.3134765625
Z-TAMILNADU-CUDDALORE-01,117322.96875
Z-TAMILNADU-NAGAPATTINAM-01,44577.2890625
Z-TAMILNADU-OOTY-01,30262.53515625
Z-UTTARAKHAND-CHAMOLI-01,13933.177734375
Z-UTTARAKHAND-JOSHIMATH-01,4986.98291015625
Z-UTTARAKHAND-MUSSOORIE-01,27910.80859375
Z-UTTARAKHAND-RUDRAPRAYAG-01,10923.7998046875
Z-UTTARAKHAND-UTTARKASHI-01,10421.484375
Z-UTTARPRADESH-GORAKHPUR-01,173419.875
Z-UTTARPRADESH-VARANASI-01,346638.65625
Z-WESTBENGAL-COOCHBEHAR-01,99696.0234375
Z-WESTBENGAL-DARJEELING-01,158127.53125
Z-WESTBENGAL-DIGHA-01,158410.59375
Z-WESTBENGAL-GOSABA-01,23922.685546875
