zone_id,osm_type,osm_id,name,amenity,lat,lon,footprint_m2,capacity,capacity_source,sq_m_per_person_used
Z-BIHAR-PATNA-01,node,4286584995,Harihar Chamber,community_centre,25.6110883,85.1203204,,,unknown,
Z-BIHAR-PATNA-01,node,6030967607,Shivam Convent,school,25.5848024,85.1495544,,,unknown,
Z-BIHAR-PATNA-01,node,6953034932,Kendriya Vidyalaya,school,25.5987178,85.1610173,,,unknown,
Z-BIHAR-PATNA-01,node,8117845010,Delhi Model Public School,school,25.5940149,85.157895,,,unknown,
Z-BIHAR-PATNA-01,node,8118025464,New Era Public School,school,25.5940033,85.156312,,,unknown,
Z-BIHAR-PATNA-01,node,8119896091,New Era High School,school,25.5899276,85.1598911,,,unknown,
Z-BIHAR-PATNA-01,node,8122552800,Shivam convent,school,25.5972002,85.1601347,,,unknown,
Z-BIHAR-PATNA-01,node,11691603095,komal communication,community_centre,25.5866186,85.1495015,,,unknown,
Z-BIHAR-PATNA-01,node,11691617364,bharti niketan school,school,25.5848966,85.1503737,,,unknown,
Z-BIHAR-PATNA-01,node,11691634913,kiddy learning school,school,25.587962,85.1495279,,,unknown,
Z-BIHAR-PATNA-01,node,11691710851,shivam convent girls wing,school,25.5918665,85.151169,,,unknown,
Z-BIHAR-PATNA-01,node,11691712410,residentaial public school,school,25.5899883,85.1497367,,,unknown,
Z-BIHAR-PATNA-01,node,11691716690,mother teresa,school,25.5871209,85.1496937,,,unknown,
Z-BIHAR-PATNA-01,node,11691744699,BIIT MED SCHOOL,school,25.595538,85.1522909,,,unknown,
Z-BIHAR-PATNA-01,node,11691748834,kangaroo kids,school,25.5894894,85.1501205,,,unknown,
Z-BIHAR-PATNA-01,node,11698671805,dominic public school,school,25.6172813,85.1157394,,,unknown,
Z-BIHAR-PATNA-01,node,11698723699,RABINDRA BALIKA VIDYALYA,school,25.6088137,85.158072,,,unknown,
Z-BIHAR-PATNA-01,node,12757435561,Ikon Public School,school,25.5816237,85.1186642,,,unknown,
Z-KERALA-WAYANAD-01,node,9927312219,Auditorium,community_centre,11.6841292,76.1142843,,,unknown,
Z-ASSAM-GUWAHATI-01,node,6132668192,Uday Nagar Mahila Unnayan Samity,community_centre,26.1330806,91.7600278,,,unknown,
Z-ASSAM-GUWAHATI-01,node,6147777185,Don Bosco School,school,26.1270411,91.7488645,,,unknown,
Z-ASSAM-GUWAHATI-01,node,12974493241,Arya english senior secondary school,school,26.1687787,91.7471368,,,unknown,
